Key,en,de 
delete_submission.description,"This action cannot be undone. Once deleted, no data from this submission can be recovered.",Diese Aktion kann nicht rückgängig gemacht werden. Nach dem Löschen können keine Daten aus dieser Übermittlung wiederhergestellt werden.
delete_submission.header,Delete Submission #{{submissionNumber}},Beitrag Nr. {{submissionNumber}} löschen
delete_submission.attachments,Attachments: {{value}},Anhänge: {{value}}
delete_submission.notes,Notes: {{value}},Anmerkungen: {{value}}
delete_submission.delete,Delete submission,Eintrag löschen
delete_submission.warning_dialog.title,Are you sure you want to delete this submission?,Möchten Sie diesen Eintrag wirklich löschen?
delete_submission.warning_dialog.description,This action cannot be undone.,Diese Aktion kann nicht rückgängig gemacht werden.
delete_submission.warning_dialog.cancel,Cancel,Abbrechen
delete_submission.warning_dialog.delete,Delete,Löschen
form_submission_card.header,Submission #{{value}},Eintrag Nr. {{value}}
form_submission_card.last_updated_at,Last updated at:,Zuletzt aktualisiert am:
form_submission_card.form_status,Form status:,Formularstatus:
form_submission_card.answered_questions,Answered questions:,Beantwortete Fragen:
form_submission_card.attachments,Attachments:,Anhänge:
form_submission_card.notes,Notes:,Anmerkungen:
